Market dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Test with best model:
=> Loaded checkpoint './logs/market/checkpoint.pth.tar'
extracting query features

Extract Features: [10/169]	Time 0.176 (0.491)	Data 0.000 (0.312)	
Extract Features: [20/169]	Time 0.178 (0.334)	Data 0.000 (0.156)	
Extract Features: [30/169]	Time 0.175 (0.281)	Data 0.000 (0.104)	
Extract Features: [40/169]	Time 0.176 (0.255)	Data 0.000 (0.078)	
Extract Features: [50/169]	Time 0.178 (0.240)	Data 0.000 (0.062)	
Extract Features: [60/169]	Time 0.177 (0.229)	Data 0.000 (0.052)	
Extract Features: [70/169]	Time 0.177 (0.222)	Data 0.000 (0.045)	
Extract Features: [80/169]	Time 0.175 (0.216)	Data 0.000 (0.039)	
Extract Features: [90/169]	Time 0.177 (0.212)	Data 0.000 (0.035)	
Extract Features: [100/169]	Time 0.176 (0.208)	Data 0.000 (0.031)	
Extract Features: [110/169]	Time 0.177 (0.205)	Data 0.000 (0.028)	
Extract Features: [120/169]	Time 0.178 (0.203)	Data 0.000 (0.026)	
Extract Features: [130/169]	Time 0.178 (0.201)	Data 0.000 (0.024)	
Extract Features: [140/169]	Time 0.174 (0.199)	Data 0.000 (0.022)	
Extract Features: [150/169]	Time 0.178 (0.198)	Data 0.000 (0.021)	
Extract Features: [160/169]	Time 0.178 (0.197)	Data 0.000 (0.020)	
extracting gallery features

Extract Features: [10/796]	Time 0.181 (0.197)	Data 0.000 (0.017)	
Extract Features: [20/796]	Time 0.181 (0.188)	Data 0.000 (0.008)	
Extract Features: [30/796]	Time 0.177 (0.185)	Data 0.000 (0.006)	
Extract Features: [40/796]	Time 0.181 (0.184)	Data 0.000 (0.004)	
Extract Features: [50/796]	Time 0.183 (0.183)	Data 0.000 (0.003)	
Extract Features: [60/796]	Time 0.184 (0.183)	Data 0.000 (0.003)	
Extract Features: [70/796]	Time 0.177 (0.183)	Data 0.000 (0.002)	
Extract Features: [80/796]	Time 0.179 (0.182)	Data 0.000 (0.002)	
Extract Features: [90/796]	Time 0.182 (0.182)	Data 0.000 (0.002)	
